author,project,language,stars_total,forks,stars_today,date
hyprwm,Hyprland,C++,"27,348","1,157",229,2025-07-19
langchain-ai,open_deep_research,Python,"5,170",732,245,2025-07-19
bluenviron,mediamtx,Go,"15,183","1,852",21,2025-07-19
shadps4-emu,shadPS4,C++,"24,200","1,570","1,005",2025-07-19
soxoj,maigret,Python,"16,644","1,131",320,2025-07-19
github,github-mcp-server,Go,"17,783","1,400",239,2025-07-19
remoteintech,remote-jobs,JavaScript,"32,477","3,382",360,2025-07-19
bknd-io,bknd,TypeScript,"2,362",70,138,2025-07-19
mrdbourke,pytorch-deep-learning,Jupyter Notebook,"14,497","4,054",43,2025-07-19
n8n-io,n8n,TypeScript,"120,756","36,310",699,2025-07-19
gitleaks,gitleaks,Go,"22,097","1,705",224,2025-07-19
Kyome22,RunCat365,C#,"8,404",700,129,2025-07-19
Lightricks,LTX-Video,Python,"7,341",633,142,2025-07-19
strapi,strapi,TypeScript,"68,345","8,760",236,2025-07-19
influxdata,telegraf,Go,"15,884","5,669",115,2025-07-19
actions,runner-images,PowerShell,"11,488","3,404",11,2025-07-19
HotCakeX,Harden-Windows-Security,C#,"2,708",220,6,2025-07-19
ikawrakow,ik_llama.cpp,C++,699,68,8,2025-07-19
